accX,accY,accZ,time,microseconds
-6300,5036,-1384,"2022-04-13 10:22:45",400179
-6288,5032,-1394,"2022-04-13 10:22:45",401172
-6285,5050,-1380,"2022-04-13 10:22:45",402165
-6290,5064,-1360,"2022-04-13 10:22:45",403158
-6269,5034,-1367,"2022-04-13 10:22:45",404151
-6275,5050,-1363,"2022-04-13 10:22:45",405144
-6279,5057,-1366,"2022-04-13 10:22:45",406137
-6270,5049,-1377,"2022-04-13 10:22:45",407130
-6299,5037,-1359,"2022-04-13 10:22:45",408123
-6284,5039,-1387,"2022-04-13 10:22:45",409116
-6303,5043,-1365,"2022-04-13 10:22:45",410109
-6280,5046,-1367,"2022-04-13 10:22:45",411102
-6305,5055,-1385,"2022-04-13 10:22:45",412095
-6308,5059,-1382,"2022-04-13 10:22:45",413088
-6278,5051,-1359,"2022-04-13 10:22:45",414081
-6297,5024,-1383,"2022-04-13 10:22:45",415074
-6268,5037,-1381,"2022-04-13 10:22:45",416067
-6288,5064,-1374,"2022-04-13 10:22:45",417060
-6290,5070,-1382,"2022-04-13 10:22:45",418053
-6277,5040,-1376,"2022-04-13 10:22:45",419046
-6263,5024,-1398,"2022-04-13 10:22:45",420039
-6288,5029,-1376,"2022-04-13 10:22:45",421032
-6286,5054,-1381,"2022-04-13 10:22:45",422025
-6308,5041,-1370,"2022-04-13 10:22:45",423018
-6286,5044,-1381,"2022-04-13 10:22:45",424011
-6261,5039,-1334,"2022-04-13 10:22:45",425004
-6262,5059,-1380,"2022-04-13 10:22:45",425997
-6278,5040,-1389,"2022-04-13 10:22:45",426990
-6267,5043,-1381,"2022-04-13 10:22:45",427983
-6273,5037,-1394,"2022-04-13 10:22:45",428976
-6283,5044,-1379,"2022-04-13 10:22:45",429969
-6289,5039,-1390,"2022-04-13 10:22:45",430962
-6294,5026,-1380,"2022-04-13 10:22:45",431955
-6295,5022,-1360,"2022-04-13 10:22:45",432948
-6293,5022,-1390,"2022-04-13 10:22:45",433941
-6295,5050,-1372,"2022-04-13 10:22:45",434934
-6281,5050,-1388,"2022-04-13 10:22:45",435927
-6269,5060,-1385,"2022-04-13 10:22:45",436920
-6258,5035,-1372,"2022-04-13 10:22:45",437913
-6288,5018,-1399,"2022-04-13 10:22:45",438906
-6274,5030,-1372,"2022-04-13 10:22:45",439899
-6285,5025,-1376,"2022-04-13 10:22:45",440892
-6287,5033,-1379,"2022-04-13 10:22:45",441885
-6300,5036,-1341,"2022-04-13 10:22:45",442878
-6306,5052,-1376,"2022-04-13 10:22:45",443871
-6298,5072,-1365,"2022-04-13 10:22:45",444864
-6293,5046,-1376,"2022-04-13 10:22:45",445857
-6298,5038,-1363,"2022-04-13 10:22:45",446850
-6292,5037,-1351,"2022-04-13 10:22:45",447843
-6295,5050,-1371,"2022-04-13 10:22:45",448836
-6289,5060,-1364,"2022-04-13 10:22:45",449829
-6303,5043,-1370,"2022-04-13 10:22:45",450822
-6288,5054,-1358,"2022-04-13 10:22:45",451815
-6278,5062,-1375,"2022-04-13 10:22:45",452808
-6308,5064,-1363,"2022-04-13 10:22:45",453801
-6299,5054,-1360,"2022-04-13 10:22:45",454794
-6293,5041,-1380,"2022-04-13 10:22:45",455787
-6278,5068,-1373,"2022-04-13 10:22:45",456780
-6286,5053,-1366,"2022-04-13 10:22:45",457773
-6299,5061,-1368,"2022-04-13 10:22:45",458766
-6316,5080,-1360,"2022-04-13 10:22:45",459759
-6321,5045,-1358,"2022-04-13 10:22:45",460752
-6277,5046,-1379,"2022-04-13 10:22:45",461745
-6268,5050,-1374,"2022-04-13 10:22:45",462738
-6296,5059,-1378,"2022-04-13 10:22:45",463731
-6308,5059,-1378,"2022-04-13 10:22:45",464724
-6303,5055,-1386,"2022-04-13 10:22:45",465717
-6295,5038,-1348,"2022-04-13 10:22:45",466710
-6320,5042,-1351,"2022-04-13 10:22:45",467703
-6310,5022,-1370,"2022-04-13 10:22:45",468696
-6303,5044,-1365,"2022-04-13 10:22:45",469689
-6288,5030,-1350,"2022-04-13 10:22:45",470682
-6297,5012,-1397,"2022-04-13 10:22:45",471675
-6298,5055,-1386,"2022-04-13 10:22:45",472668
-6306,5038,-1384,"2022-04-13 10:22:45",473661
-6325,5038,-1355,"2022-04-13 10:22:45",474654
-6301,5050,-1358,"2022-04-13 10:22:45",475647
-6298,5054,-1354,"2022-04-13 10:22:45",476640
-6298,5069,-1380,"2022-04-13 10:22:45",477633
-6313,5041,-1380,"2022-04-13 10:22:45",478626
-6276,5040,-1376,"2022-04-13 10:22:45",479619
-6282,5020,-1350,"2022-04-13 10:22:45",480612
-6298,5026,-1380,"2022-04-13 10:22:45",481605
-6313,5041,-1364,"2022-04-13 10:22:45",482598
-6313,5044,-1376,"2022-04-13 10:22:45",483591
-6311,5064,-1377,"2022-04-13 10:22:45",484584
-6310,5044,-1359,"2022-04-13 10:22:45",485577
